Group,N,SBCA_SR,EW_SR,PPO_SR,BH_SR,SBCA_vs_EW,SBCA_vs_PPO,SBCA_improvement_EW,SBCA_MDD,EW_MDD
12Mix,12,0.516,0.4075,0.5066,0.3253,0.1085,0.0094,+26.6%,-0.4774,-0.4702
18Mix,18,1.3823,1.3208,1.3761,0.9184,0.0615,0.0062,+4.7%,-0.4047,-0.3955
24All,24,1.2428,1.1803,1.2393,0.872,0.0625,0.0035,+5.3%,-0.4159,-0.4122
3Mix,3,0.5328,0.4749,0.5143,0.5117,0.0579,0.0185,+12.2%,-0.6005,-0.5914
4Large,4,0.3921,0.3609,0.383,0.3178,0.0312,0.0091,+8.6%,-0.2858,-0.2856
4Mid,4,0.3804,0.3019,0.3819,0.2949,0.0785,-0.0015,+26.0%,-0.5171,-0.5025
4Small,4,0.3299,0.2276,0.3218,0.1843,0.1023,0.0081,+44.9%,-0.6086,-0.6098
6Mix,6,0.6244,0.5258,0.619,0.5154,0.0986,0.0054,+18.8%,-0.5333,-0.529
8Large,8,0.9059,0.9125,0.8993,0.9619,-0.0066,0.0066,-0.7%,-0.2999,-0.3027
8Mid,8,0.3879,0.2951,0.3909,0.2049,0.0928,-0.003,+31.4%,-0.506,-0.4885
8Small,8,1.6203,1.4887,1.6022,1.0559,0.1316,0.0181,+8.8%,-0.4506,-0.4472
