Group,N,Model,ATO
4Large,4,EW,9.1434
4Large,4,BH,0.0
4Large,4,DJ,1.4795
4Large,4,MinVar,46.5256
4Large,4,RP,27.97
4Large,4,PPO,3.6779
8Large,8,EW,8.2455
8Large,8,BH,0.0
8Large,8,DJ,1.6449
8Large,8,MinVar,60.399
8Large,8,RP,29.5362
8Large,8,PPO,4.8868
4Mid,4,EW,10.7386
4Mid,4,BH,0.0
4Mid,4,DJ,1.6607
4Mid,4,MinVar,48.5804
4Mid,4,RP,27.1142
4Mid,4,PPO,3.7644
8Mid,8,EW,11.6001
8Mid,8,BH,0.0
8Mid,8,DJ,1.932
8Mid,8,MinVar,53.4108
8Mid,8,RP,23.5166
8Mid,8,PPO,4.9549
4Small,4,EW,11.5421
4Small,4,BH,0.0
4Small,4,DJ,2.3704
4Small,4,MinVar,41.1762
4Small,4,RP,17.9857
4Small,4,PPO,3.4303
8Small,8,EW,18.3556
8Small,8,BH,0.0
8Small,8,DJ,4.1052
8Small,8,MinVar,61.4026
8Small,8,RP,25.068
8Small,8,PPO,4.1555
3Mix,3,EW,12.9831
3Mix,3,BH,0.0
3Mix,3,DJ,1.6691
3Mix,3,MinVar,34.7682
3Mix,3,RP,25.532
3Mix,3,PPO,3.4129
6Mix,6,EW,12.169
6Mix,6,BH,0.0
6Mix,6,DJ,1.7591
6Mix,6,MinVar,47.2048
6Mix,6,RP,29.9334
6Mix,6,PPO,3.9174
12Mix,12,EW,12.274
12Mix,12,BH,0.0
12Mix,12,DJ,1.9776
12Mix,12,MinVar,69.3109
12Mix,12,RP,31.9474
12Mix,12,PPO,4.618
18Mix,18,EW,12.6172
18Mix,18,BH,0.0
18Mix,18,DJ,2.0674
18Mix,18,MinVar,77.5846
18Mix,18,RP,32.9706
18Mix,18,PPO,3.9534
24All,24,EW,13.6721
24All,24,BH,0.0
24All,24,DJ,2.4121
24All,24,MinVar,84.9949
24All,24,RP,33.1348
24All,24,PPO,4.3827
4Large,4,SBCA,0.0147
8Large,8,SBCA,0.0099
4Mid,4,SBCA,0.0026
8Mid,8,SBCA,0.0114
4Small,4,SBCA,0.0254
8Small,8,SBCA,0.0226
3Mix,3,SBCA,0.0266
6Mix,6,SBCA,0.0048
12Mix,12,SBCA,0.0059
18Mix,18,SBCA,0.0302
24All,24,SBCA,0.0066
