Group,N,Model,PV,SR,Sortino,MDD,AR,Calmar
4Large,4,SBCA,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4224
4Large,4,PPO,1.251,0.383,0.5199,-0.2861,0.118,0.4124
4Large,4,EW,1.2393,0.3609,0.4936,-0.2856,0.1128,0.3949
4Large,4,BH,1.2183,0.3178,0.4524,-0.289,0.1033,0.3576
4Large,4,DJ,1.3059,0.4149,0.5685,-0.304,0.1421,0.4676
4Large,4,MinVar,1.1907,0.2845,0.3999,-0.2696,0.0908,0.3369
4Large,4,RP,1.2419,0.3726,0.5012,-0.2824,0.1139,0.4034
8Large,8,SBCA,1.7192,0.9059,1.0965,-0.2999,0.3098,1.033
8Large,8,PPO,1.7127,0.8993,1.0872,-0.3001,0.3073,1.0239
8Large,8,EW,1.7253,0.9125,1.1028,-0.3027,0.3121,1.0308
8Large,8,BH,1.8107,0.9619,1.2156,-0.3022,0.344,1.1383
8Large,8,DJ,1.7012,0.8745,1.0966,-0.3062,0.3029,0.9894
8Large,8,MinVar,1.7988,0.8146,1.3457,-0.2997,0.3396,1.1332
8Large,8,RP,2.6871,0.8271,1.9941,-0.295,0.636,2.1563
4Mid,4,SBCA,1.4502,0.3804,0.5584,-0.5171,0.2034,0.3933
4Mid,4,PPO,1.4529,0.3819,0.5606,-0.5198,0.2045,0.3933
4Mid,4,EW,1.3542,0.3019,0.4507,-0.5025,0.163,0.3245
4Mid,4,BH,1.3222,0.2949,0.425,-0.4789,0.1492,0.3116
4Mid,4,DJ,0.9416,-0.1141,-0.0842,-0.3348,-0.0295,-0.0882
4Mid,4,MinVar,1.0202,-0.0231,0.0287,-0.4397,0.01,0.0228
4Mid,4,RP,1.2885,0.2525,0.385,-0.4791,0.1346,0.2808
8Mid,8,SBCA,1.3837,0.3879,0.4828,-0.506,0.1756,0.347
8Mid,8,PPO,1.3875,0.3909,0.4857,-0.5063,0.1772,0.3499
8Mid,8,EW,1.2865,0.2951,0.385,-0.4885,0.1337,0.2736
8Mid,8,BH,1.1849,0.2049,0.2926,-0.4513,0.0882,0.1954
