Stock,Role,Period,n,pos_rate,AUC_original,AUC_corrected,CI_lo,CI_hi
CAT,in BERT fine-tuning set,2012--2018 (RL training),1318,0.499,0.611,0.688,0.661,0.715
CAT,in BERT fine-tuning set,2019--2020 (RL validation),375,0.536,0.589,0.554,0.495,0.611
CAT,in BERT fine-tuning set,2021--2022 (RL test),361,0.501,0.577,0.511,0.452,0.57
GILD,in BERT fine-tuning set,2012--2018 (RL training),1502,0.515,0.649,0.757,0.732,0.78
GILD,in BERT fine-tuning set,2019--2020 (RL validation),477,0.495,0.623,0.503,0.45,0.555
GILD,in BERT fine-tuning set,2021--2022 (RL test),398,0.497,0.613,0.514,0.457,0.57
GS,in BERT fine-tuning set,2012--2018 (RL training),692,0.501,0.597,0.706,0.666,0.745
GS,in BERT fine-tuning set,2019--2020 (RL validation),435,0.533,0.616,0.496,0.443,0.55
GS,in BERT fine-tuning set,2021--2022 (RL test),493,0.487,0.652,0.503,0.451,0.554
KO,in BERT fine-tuning set,2012--2018 (RL training),1541,0.51,0.644,0.714,0.687,0.738
KO,in BERT fine-tuning set,2019--2020 (RL validation),459,0.516,0.662,0.461,0.407,0.517
KO,in BERT fine-tuning set,2021--2022 (RL test),445,0.548,0.756,0.511,0.456,0.563
MRK,partly in BERT fine-tuning set,2012--2018 (RL training),1506,0.511,0.753,0.844,0.823,0.864
MRK,partly in BERT fine-tuning set,2019--2020 (RL validation),445,0.501,0.522,0.497,0.443,0.552
MRK,partly in BERT fine-tuning set,2021--2022 (RL test),458,0.509,0.547,0.497,0.445,0.55
NVDA,held out of BERT fine-tuning set,2012--2018 (RL training),771,0.527,0.54,0.905,0.883,0.924
NVDA,held out of BERT fine-tuning set,2019--2020 (RL validation),279,0.513,0.463,0.518,0.452,0.587
NVDA,held out of BERT fine-tuning set,2021--2022 (RL test),345,0.493,0.495,0.516,0.451,0.578
