block,baseline,metric,p_reproduced,p_published,match
8,Buy & Hold,AR,0.0089,0.0011,
8,Buy & Hold,SR,0.0016,0.0001,
8,Buy & Hold,Sortino,0.0041,0.0006,
8,Buy & Hold,MDD,0.0125,0.0129,YES
8,Equal Weight,AR,0.0449,0.0168,
8,Equal Weight,SR,0.0254,0.0006,
8,Equal Weight,Sortino,0.0257,0.0054,
8,Equal Weight,MDD,0.0459,0.0383,
8,Dow Jones,AR,0.3506,0.2977,
8,Dow Jones,SR,0.143,0.0897,
8,Dow Jones,Sortino,0.0958,0.0968,
8,Dow Jones,MDD,0.0532,0.0405,
8,MVO (g=2),AR,0.3886,0.3393,
8,MVO (g=2),SR,0.1348,0.0965,
8,MVO (g=2),Sortino,0.0998,0.0949,
8,MVO (g=2),MDD,0.0567,0.0379,
60,Buy & Hold,AR,0.0013,0.0011,YES
60,Buy & Hold,SR,0.0,0.0001,YES
60,Buy & Hold,Sortino,0.0009,0.0006,YES
60,Buy & Hold,MDD,0.0129,0.0129,YES
60,Equal Weight,AR,0.0175,0.0168,
60,Equal Weight,SR,0.0006,0.0006,YES
60,Equal Weight,Sortino,0.0044,0.0054,
60,Equal Weight,MDD,0.0403,0.0383,
60,Dow Jones,AR,0.2987,0.2977,
60,Dow Jones,SR,0.0914,0.0897,
60,Dow Jones,Sortino,0.0785,0.0968,
60,Dow Jones,MDD,0.0416,0.0405,
60,MVO (g=2),AR,0.3405,0.3393,
60,MVO (g=2),SR,0.1024,0.0965,
60,MVO (g=2),Sortino,0.0991,0.0949,
60,MVO (g=2),MDD,0.0379,0.0379,YES
