Group,Family,Comparison,Metric,block,p_value
2assets,internal,SBCA vs SB,AR,20,0.0573
2assets,internal,SBCA vs SB,SR,20,0.0436
2assets,internal,SBCA vs SB,Sortino,20,0.0418
2assets,internal,SBCA vs SB,MDD,20,0.0308
2assets,internal,SBCA vs SB,AR,40,0.0569
2assets,internal,SBCA vs SB,SR,40,0.0498
2assets,internal,SBCA vs SB,Sortino,40,0.032
2assets,internal,SBCA vs SB,MDD,40,0.0358
2assets,internal,SBCA vs SB,AR,60,0.0553
2assets,internal,SBCA vs SB,SR,60,0.054
2assets,internal,SBCA vs SB,Sortino,60,0.0315
2assets,internal,SBCA vs SB,MDD,60,0.0428
2assets,internal,SBCA vs SB,AR,120,0.0256
2assets,internal,SBCA vs SB,SR,120,0.0368
2assets,internal,SBCA vs SB,Sortino,120,0.0076
2assets,internal,SBCA vs SB,MDD,120,0.062
2assets,internal,SBCA vs SBA,AR,20,0.4426
2assets,internal,SBCA vs SBA,SR,20,0.2648
2assets,internal,SBCA vs SBA,Sortino,20,0.1754
2assets,internal,SBCA vs SBA,MDD,20,0.0795
2assets,internal,SBCA vs SBA,AR,40,0.4217
2assets,internal,SBCA vs SBA,SR,40,0.2465
2assets,internal,SBCA vs SBA,Sortino,40,0.1569
2assets,internal,SBCA vs SBA,MDD,40,0.0686
2assets,internal,SBCA vs SBA,AR,60,0.4246
2assets,internal,SBCA vs SBA,SR,60,0.2503
2assets,internal,SBCA vs SBA,Sortino,60,0.1466
2assets,internal,SBCA vs SBA,MDD,60,0.0736
2assets,internal,SBCA vs SBA,AR,120,0.4136
2assets,internal,SBCA vs SBA,SR,120,0.2373
2assets,internal,SBCA vs SBA,Sortino,120,0.1312
2assets,internal,SBCA vs SBA,MDD,120,0.0762
2assets,internal,SBCA vs SBC,AR,20,0.0315
2assets,internal,SBCA vs SBC,SR,20,0.0134
2assets,internal,SBCA vs SBC,Sortino,20,0.015
2assets,internal,SBCA vs SBC,MDD,20,0.0022
2assets,internal,SBCA vs SBC,AR,40,0.0266
2assets,internal,SBCA vs SBC,SR,40,0.0101
2assets,internal,SBCA vs SBC,Sortino,40,0.0064
2assets,internal,SBCA vs SBC,MDD,40,0.0028
2assets,internal,SBCA vs SBC,AR,60,0.0191
2assets,internal,SBCA vs SBC,SR,60,0.0053
2assets,internal,SBCA vs SBC,Sortino,60,0.0018
2assets,internal,SBCA vs SBC,MDD,60,0.003
2assets,internal,SBCA vs SBC,AR,120,0.007
2assets,internal,SBCA vs SBC,SR,120,0.0014
2assets,internal,SBCA vs SBC,Sortino,120,0.0
2assets,internal,SBCA vs SBC,MDD,120,0.0017
2assets,external,SBCA vs Buy & Hold,AR,20,0.0068
2assets,external,SBCA vs Buy & Hold,SR,20,0.0002
2assets,external,SBCA vs Buy & Hold,Sortino,20,0.0027
2assets,external,SBCA vs Buy & Hold,MDD,20,0.0089
2assets,external,SBCA vs Buy & Hold,AR,40,0.0031
2assets,external,SBCA vs Buy & Hold,SR,40,0.0001
2assets,external,SBCA vs Buy & Hold,Sortino,40,0.001
2assets,external,SBCA vs Buy & Hold,MDD,40,0.01
2assets,external,SBCA vs Buy & Hold,AR,60,0.0012
2assets,external,SBCA vs Buy & Hold,SR,60,0.0
2assets,external,SBCA vs Buy & Hold,Sortino,60,0.0009
2assets,external,SBCA vs Buy & Hold,MDD,60,0.0116
2assets,external,SBCA vs Buy & Hold,AR,120,0.0007
2assets,external,SBCA vs Buy & Hold,SR,120,0.0
2assets,external,SBCA vs Buy & Hold,Sortino,120,0.0002
2assets,external,SBCA vs Buy & Hold,MDD,120,0.0089
2assets,external,SBCA vs Equal Weight,AR,20,0.0295
2assets,external,SBCA vs Equal Weight,SR,20,0.0077
2assets,external,SBCA vs Equal Weight,Sortino,20,0.0169
2assets,external,SBCA vs Equal Weight,MDD,20,0.036
2assets,external,SBCA vs Equal Weight,AR,40,0.0235
2assets,external,SBCA vs Equal Weight,SR,40,0.0009
2assets,external,SBCA vs Equal Weight,Sortino,40,0.0099
2assets,external,SBCA vs Equal Weight,MDD,40,0.0313
2assets,external,SBCA vs Equal Weight,AR,60,0.0148
2assets,external,SBCA vs Equal Weight,SR,60,0.0004
2assets,external,SBCA vs Equal Weight,Sortino,60,0.0043
2assets,external,SBCA vs Equal Weight,MDD,60,0.0369
2assets,external,SBCA vs Equal Weight,AR,120,0.0087
2assets,external,SBCA vs Equal Weight,SR,120,0.0
2assets,external,SBCA vs Equal Weight,Sortino,120,0.0016
2assets,external,SBCA vs Equal Weight,MDD,120,0.0267
2assets,external,SBCA vs Dow Jones,AR,20,0.3277
2assets,external,SBCA vs Dow Jones,SR,20,0.1156
2assets,external,SBCA vs Dow Jones,Sortino,20,0.0889
2assets,external,SBCA vs Dow Jones,MDD,20,0.0421
