Group,Metric,Contrast,point,ci_lo,ci_hi,excludes_zero
2assets,PV,dCM,0.0025,-0.0027,0.0085,no
2assets,PV,dAC,0.0064,-0.001,0.0131,no
2assets,PV,dInt,-0.0046,-0.0182,0.0067,no
2assets,AR,dCM,0.0011,-0.0011,0.0032,no
2assets,AR,dAC,0.0027,-0.0004,0.0053,no
2assets,AR,dInt,-0.0019,-0.0067,0.0027,no
2assets,SR,dCM,0.0046,-0.0044,0.0135,no
2assets,SR,dAC,0.0125,0.0008,0.025,yes
2assets,SR,dInt,-0.0067,-0.0268,0.0124,no
2assets,Sortino,dCM,0.009,-0.0073,0.0233,no
2assets,Sortino,dAC,0.0204,-0.0003,0.0375,no
2assets,Sortino,dInt,-0.0115,-0.0421,0.0218,no
2assets,MDD,dCM,0.0005,-0.0009,0.0022,no
2assets,MDD,dAC,0.0035,-0.0,0.005,no
2assets,MDD,dInt,-0.0001,-0.0036,0.0028,no
2assets,Calmar,dCM,0.0074,-0.0111,0.0312,no
2assets,Calmar,dAC,0.0285,0.0017,0.0573,yes
2assets,Calmar,dInt,-0.0095,-0.0512,0.0369,no
4assets,PV,dCM,-0.0008,-0.0038,0.0012,no
4assets,PV,dAC,0.004,-0.0013,0.0132,no
4assets,PV,dInt,0.0015,-0.0026,0.008,no
4assets,AR,dCM,-0.0003,-0.0014,0.0006,no
4assets,AR,dAC,0.0017,-0.0006,0.0047,no
4assets,AR,dInt,0.0007,-0.0012,0.0029,no
4assets,SR,dCM,-0.0008,-0.0047,0.0038,no
4assets,SR,dAC,0.0068,-0.0044,0.0164,no
4assets,SR,dInt,0.0011,-0.0082,0.0091,no
4assets,Sortino,dCM,-0.0015,-0.0075,0.0058,no
4assets,Sortino,dAC,0.0109,-0.0071,0.027,no
4assets,Sortino,dInt,0.0022,-0.0128,0.0146,no
4assets,MDD,dCM,0.0002,-0.0004,0.0009,no
4assets,MDD,dAC,-0.0003,-0.0017,0.0011,no
4assets,MDD,dInt,-0.0006,-0.0019,0.0006,no
4assets,Calmar,dCM,-0.0007,-0.0114,0.0065,no
4assets,Calmar,dAC,0.0081,-0.0068,0.0393,no
4assets,Calmar,dInt,0.0006,-0.0143,0.022,no
6assets,PV,dCM,-0.0004,-0.0523,0.0171,no
6assets,PV,dAC,0.0036,-0.0345,0.0204,no
6assets,PV,dInt,0.0008,-0.0343,0.1042,no
6assets,AR,dCM,-0.0002,-0.0166,0.0072,no
6assets,AR,dAC,0.0015,-0.0112,0.0084,no
6assets,AR,dInt,0.0003,-0.0145,0.0332,no
6assets,SR,dCM,0.0158,-0.0053,0.0399,no
6assets,SR,dAC,0.0164,-0.0043,0.0434,no
6assets,SR,dInt,-0.0315,-0.0801,0.0108,no
6assets,Sortino,dCM,0.0069,-0.0854,0.0621,no
6assets,Sortino,dAC,0.0106,-0.0699,0.0662,no
6assets,Sortino,dInt,-0.0135,-0.1247,0.1712,no
6assets,MDD,dCM,0.0044,-0.0001,0.0068,no
6assets,MDD,dAC,0.0033,-0.0011,0.0059,no
6assets,MDD,dInt,-0.0087,-0.0136,0.0002,no
6assets,Calmar,dCM,0.0214,-0.0893,0.074,no
6assets,Calmar,dAC,0.0235,-0.0735,0.0764,no
6assets,Calmar,dInt,-0.0424,-0.148,0.1794,no
