Group,Family,Comparison,Metric,block,p_value
2assets,internal,SBCA vs SB,AR,20,0.0835
2assets,internal,SBCA vs SB,SR,20,0.0858
2assets,internal,SBCA vs SB,Sortino,20,0.0893
2assets,internal,SBCA vs SB,MDD,20,0.0356
2assets,internal,SBCA vs SB,AR,40,0.0854
2assets,internal,SBCA vs SB,SR,40,0.1003
2assets,internal,SBCA vs SB,Sortino,40,0.088
2assets,internal,SBCA vs SB,MDD,40,0.0455
2assets,internal,SBCA vs SB,AR,60,0.0867
2assets,internal,SBCA vs SB,SR,60,0.108
2assets,internal,SBCA vs SB,Sortino,60,0.0921
2assets,internal,SBCA vs SB,MDD,60,0.0546
2assets,internal,SBCA vs SB,AR,120,0.0676
2assets,internal,SBCA vs SB,SR,120,0.1075
2assets,internal,SBCA vs SB,Sortino,120,0.0739
2assets,internal,SBCA vs SB,MDD,120,0.081
2assets,internal,SBCA vs SBA,AR,20,0.5731
2assets,internal,SBCA vs SBA,SR,20,0.3996
2assets,internal,SBCA vs SBA,Sortino,20,0.2061
2assets,internal,SBCA vs SBA,MDD,20,0.3163
2assets,internal,SBCA vs SBA,AR,40,0.5686
2assets,internal,SBCA vs SBA,SR,40,0.4008
2assets,internal,SBCA vs SBA,Sortino,40,0.1946
2assets,internal,SBCA vs SBA,MDD,40,0.3238
2assets,internal,SBCA vs SBA,AR,60,0.5649
2assets,internal,SBCA vs SBA,SR,60,0.4062
2assets,internal,SBCA vs SBA,Sortino,60,0.1895
2assets,internal,SBCA vs SBA,MDD,60,0.3298
2assets,internal,SBCA vs SBA,AR,120,0.5631
2assets,internal,SBCA vs SBA,SR,120,0.4099
2assets,internal,SBCA vs SBA,Sortino,120,0.1809
2assets,internal,SBCA vs SBA,MDD,120,0.344
2assets,internal,SBCA vs SBC,AR,20,0.4946
2assets,internal,SBCA vs SBC,SR,20,0.3433
2assets,internal,SBCA vs SBC,Sortino,20,0.3423
2assets,internal,SBCA vs SBC,MDD,20,0.4527
2assets,internal,SBCA vs SBC,AR,40,0.492
2assets,internal,SBCA vs SBC,SR,40,0.3475
2assets,internal,SBCA vs SBC,Sortino,40,0.3438
2assets,internal,SBCA vs SBC,MDD,40,0.4553
2assets,internal,SBCA vs SBC,AR,60,0.4873
2assets,internal,SBCA vs SBC,SR,60,0.3513
2assets,internal,SBCA vs SBC,Sortino,60,0.3521
2assets,internal,SBCA vs SBC,MDD,60,0.4626
2assets,internal,SBCA vs SBC,AR,120,0.4847
